!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
🧙‍♂	fantasy|mage|magic|man|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏻	fantasy|light|skin|tone|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏻‍♀	fantasy|light|skin|tone|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard|woman
🧙🏻‍♂	fantasy|light|skin|tone|mage|magic|man|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏼	fantasy|mage|magic|medium|light|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏼‍♀	fantasy|mage|magic|medium|light|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard|woman
🧙🏼‍♂	fantasy|mage|magic|man|medium|light|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏽	fantasy|mage|magic|medium|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏽‍♀	fantasy|mage|magic|medium|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard|woman
🧙🏽‍♂	fantasy|mage|magic|man|medium|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏾	fantasy|mage|magic|medium|dark|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏾‍♀	fantasy|mage|magic|medium|dark|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard|woman
🧙🏾‍♂	fantasy|mage|magic|man|medium|dark|skin|tone|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏿	dark|skin|tone|fantasy|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙🏿‍♀	dark|skin|tone|fantasy|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard|woman
🧙🏿‍♂	dark|skin|tone|fantasy|mage|magic|man|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧚	fairy|fairytale|fantasy|myth|person|pixie|tale|wings
🧚‍♀	fairy|fairytale|fantasy|myth|person|pixie|tale|titania|wings|woman
🧚‍♂	fairy|fairytale|fantasy|man|myth|oberon|person|pixie|puck|tale|wings
🧚🏻	fairy|fairytale|fantasy|light|skin|tone|myth|person|pixie|tale|wings
🧚🏻‍♀	fairy|fairytale|fantasy|light|skin|tone|myth|person|pixie|tale|titania|wings|woman
🧚🏻‍♂	fairy|fairytale|fantasy|light|skin|tone|man|myth|oberon|person|pixie|puck|tale|wings
🧚🏼	fairy|fairytale|fantasy|medium|light|skin|tone|myth|person|pixie|tale|wings
🧚🏼‍♀	fairy|fairytale|fantasy|medium|light|skin|tone|myth|person|pixie|tale|titania|wings|woman
🧚🏼‍♂	fairy|fairytale|fantasy|man|medium|light|skin|tone|myth|oberon|person|pixie|puck|tale|wings
🧚🏽	fairy|fairytale|fantasy|medium|skin|tone|myth|person|pixie|tale|wings
🧚🏽‍♀	fairy|fairytale|fantasy|medium|skin|tone|myth|person|pixie|tale|titania|wings|woman
🧚🏽‍♂	fairy|fairytale|fantasy|man|medium|skin|tone|myth|oberon|person|pixie|puck|tale|wings
🧚🏾	fairy|fairytale|fantasy|medium|dark|skin|tone|myth|person|pixie|tale|wings
🧚🏾‍♀	fairy|fairytale|fantasy|medium|dark|skin|tone|myth|person|pixie|tale|titania|wings|woman
🧚🏾‍♂	fairy|fairytale|fantasy|man|medium|dark|skin|tone|myth|oberon|person|pixie|puck|tale|wings
🧚🏿	dark|skin|tone|fairy|fairytale|fantasy|myth|person|pixie|tale|wings
🧚🏿‍♀	dark|skin|tone|fairy|fairytale|fantasy|myth|person|pixie|tale|titania|wings|woman
🧚🏿‍♂	dark|skin|tone|fairy|fairytale|fantasy|man|myth|oberon|person|pixie|puck|tale|wings
🧛	blood|dracula|fangs|halloween|scary|supernatural|teeth|undead|vampire
🧛‍♀	blood|fangs|halloween|scary|supernatural|teeth|undead|vampire|woman
🧛‍♂	blood|fangs|halloween|man|scary|supernatural|teeth|undead|vampire
🧛🏻	blood|dracula|fangs|halloween|light|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏻‍♀	blood|fangs|halloween|light|skin|tone|scary|supernatural|teeth|undead|vampire|woman
🧛🏻‍♂	blood|fangs|halloween|light|skin|tone|man|scary|supernatural|teeth|undead|vampire
🧛🏼	blood|dracula|fangs|halloween|medium|light|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏼‍♀	blood|fangs|halloween|medium|light|skin|tone|scary|supernatural|teeth|undead|vampire|woman
🧛🏼‍♂	blood|fangs|halloween|man|medium|light|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏽	blood|dracula|fangs|halloween|medium|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏽‍♀	blood|fangs|halloween|medium|skin|tone|scary|supernatural|teeth|undead|vampire|woman
🧛🏽‍♂	blood|fangs|halloween|man|medium|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏾	blood|dracula|fangs|halloween|medium|dark|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏾‍♀	blood|fangs|halloween|medium|dark|skin|tone|scary|supernatural|teeth|undead|vampire|woman
🧛🏾‍♂	blood|fangs|halloween|man|medium|dark|skin|tone|scary|supernatural|teeth|undead|vampire
🧛🏿	blood|dark|skin|tone|dracula|fangs|halloween|scary|supernatural|teeth|undead|vampire
🧛🏿‍♀	blood|dark|skin|tone|fangs|halloween|scary|supernatural|teeth|undead|vampire|woman
🧛🏿‍♂	blood|dark|skin|tone|fangs|halloween|man|scary|supernatural|teeth|undead|vampire
🧜	creature|fairytale|folklore|merperson|ocean|sea|siren|trident
🧜‍♀	creature|fairytale|folklore|mermaid|merwoman|ocean|sea|siren|trident
🧜‍♂	creature|fairytale|folklore|merman|neptune|ocean|poseidon|sea|siren|trident|triton
🧜🏻	creature|fairytale|folklore|light|skin|tone|merperson|ocean|sea|siren|trident
🧜🏻‍♀	creature|fairytale|folklore|light|skin|tone|mermaid|merwoman|ocean|sea|siren|trident
🧜🏻‍♂	creature|fairytale|folklore|light|skin|tone|merman|neptune|ocean|poseidon|sea|siren|trident|triton
🧜🏼	creature|fairytale|folklore|medium|light|skin|tone|merperson|ocean|sea|siren|trident
🧜🏼‍♀	creature|fairytale|folklore|medium|light|skin|tone|mermaid|merwoman|ocean|sea|siren|trident
🧜🏼‍♂	creature|fairytale|folklore|medium|light|skin|tone|merman|neptune|ocean|poseidon|sea|siren|trident|triton
🧜🏽	creature|fairytale|folklore|medium|skin|tone|merperson|ocean|sea|siren|trident
🧜🏽‍♀	creature|fairytale|folklore|medium|skin|tone|mermaid|merwoman|ocean|sea|siren|trident
🧜🏽‍♂	creature|fairytale|folklore|medium|skin|tone|merman|neptune|ocean|poseidon|sea|siren|trident|triton
🧜🏾	creature|fairytale|folklore|medium|dark|skin|tone|merperson|ocean|sea|siren|trident
🧜🏾‍♀	creature|fairytale|folklore|medium|dark|skin|tone|mermaid|merwoman|ocean|sea|siren|trident
🧜🏾‍♂	creature|fairytale|folklore|medium|dark|skin|tone|merman|neptune|ocean|poseidon|sea|siren|trident|triton
🧜🏿	creature|dark|skin|tone|fairytale|folklore|merperson|ocean|sea|siren|trident
🧜🏿‍♀	creature|dark|skin|tone|fairytale|folklore|mermaid|merwoman|ocean|sea|siren|trident
🧜🏿‍♂	creature|dark|skin|tone|fairytale|folklore|merman|neptune|ocean|poseidon|sea|siren|trident|triton
🧝	elf|elves|enchantment|fantasy|folklore|magic|magical|myth
🧝‍♀	elf|elves|enchantment|fantasy|folklore|magic|magical|myth|woman
🧝‍♂	elf|elves|enchantment|fantasy|folklore|magic|magical|man|myth
🧝🏻	elf|elves|enchantment|fantasy|folklore|light|skin|tone|magic|magical|myth
🧝🏻‍♀	elf|elves|enchantment|fantasy|folklore|light|skin|tone|magic|magical|myth|woman
🧝🏻‍♂	elf|elves|enchantment|fantasy|folklore|light|skin|tone|magic|magical|man|myth
🧝🏼	elf|elves|enchantment|fantasy|folklore|magic|magical|medium|light|skin|tone|myth
🧝🏼‍♀	elf|elves|enchantment|fantasy|folklore|magic|magical|medium|light|skin|tone|myth|woman
🧝🏼‍♂	elf|elves|enchantment|fantasy|folklore|magic|magical|man|medium|light|skin|tone|myth
🧝🏽	elf|elves|enchantment|fantasy|folklore|magic|magical|medium|skin|tone|myth
🧝🏽‍♀	elf|elves|enchantment|fantasy|folklore|magic|magical|medium|skin|tone|myth|woman
🧝🏽‍♂	elf|elves|enchantment|fantasy|folklore|magic|magical|man|medium|skin|tone|myth
🧝🏾	elf|elves|enchantment|fantasy|folklore|magic|magical|medium|dark|skin|tone|myth
🧝🏾‍♀	elf|elves|enchantment|fantasy|folklore|magic|magical|medium|dark|skin|tone|myth|woman
🧝🏾‍♂	elf|elves|enchantment|fantasy|folklore|magic|magical|man|medium|dark|skin|tone|myth
🧝🏿	dark|skin|tone|elf|elves|enchantment|fantasy|folklore|magic|magical|myth
🧝🏿‍♀	dark|skin|tone|elf|elves|enchantment|fantasy|folklore|magic|magical|myth|woman
🧝🏿‍♂	dark|skin|tone|elf|elves|enchantment|fantasy|folklore|magic|magical|man|myth
🧞	djinn|fantasy|genie|jinn|lamp|myth|rub|wishes
🧞‍♀	djinn|fantasy|genie|jinn|lamp|myth|rub|wishes|woman
🧞‍♂	djinn|fantasy|genie|jinn|lamp|man|myth|rub|wishes
🧟	apocalypse|dead|halloween|horror|scary|undead|walking|zombie
🧟‍♀	apocalypse|dead|halloween|horror|scary|undead|walking|woman|zombie
🧟‍♂	apocalypse|dead|halloween|horror|man|scary|undead|walking|zombie
🧠	brain|intelligent|smart
🧡	143|heart|orange
🧢	baseball|bent|billed|cap|dad|hat
🧣	bundle|cold|neck|scarf|up
🧤	gloves|hand
🧥	brr|bundle|coat|cold|jacket|up
🧦	socks|stocking
🧧	envelope|gift|good|ngb|lai|luck|money|red|see
🧨	dynamite|explosive|fire|firecracker|fireworks|light|pop|popping|spark
🧩	clue|interlocking|jigsaw|piece|puzzle
🧪	chemist|chemistry|experiment|lab|science|test|tube
🧫	bacteria|biologist|biology|culture|dish|lab|petri
🧬	biologist|dna|evolution|gene|genetics|life
🧭	compass|direction|magnetic|navigation|orienteering
🧮	abacus|calculation|calculator
🧯	extinguish|extinguisher|fire|quench
🧰	box|chest|mechanic|red|tool|toolbox
🧱	brick|bricks|clay|mortar|wall
🧲	attraction|horseshoe|magnet|magnetic|negative|positive|shape
🧳	bag|luggage|packing|roller|suitcase|travel
🧴	bottle|lotion|moisturizer|shampoo|sunscreen
🧵	needle|sewing|spool|string|thread
🧶	ball|crochet|knit|yarn
🧷	diaper|pin|punk|rock|safety
🧸	bear|plaything|plush|stuffed|teddy|toy
🧹	broom|cleaning|sweeping|witch
🧺	basket|farming|laundry|picnic
🧻	paper|roll|toilet|towels
🧼	bar|bathing|clean|cleaning|lather|soap|soapdish
🧽	absorbing|cleaning|porous|soak|sponge
🧾	accounting|bookkeeping|evidence|invoice|proof|receipt
🧿	amulet|bead|blue|charm|evil|eye|nazar|talisman
🩰	ballet|dance|shoes
🩱	bathing|one|piece|suit|swimsuit
🩲	bathing|briefs|one|piece|suit|swimsuit|underwear
🩳	bathing|pants|shorts|suit|swimsuit|underwear
🩴	beach|flip|flop|sandal|sandals|shoe|thong|thongs|ri
🩵	143|blue|cute|cyan|emotion|heart|ily|light|like|love|sky|special|teal
🩶	143|emotion|gray|grey|heart|ily|love|silver|slate|special
🩷	143|adorable|cute|emotion|heart|ily|like|love|pink|special|sweet
🩸	bleed|blood|donation|drop|injury|medicine|menstruation
🩹	adhesive|bandage
🩺	doctor|heart|medicine|stethoscope
🩻	bones|doctor|medical|skeleton|skull|ray|xray
🩼	aid|cane|crutch|disability|help|hurt|injured|mobility|stick
🪀	fluctuate|toy|yo
🪁	fly|kite|soar
🪂	hang|glide|parachute|parasail|skydive
🪃	boomerang|rebound|repercussion|weapon
🪄	magic|magician|wand|witch|wizard
🪅	candy|celebrate|celebration|cinco|de|festive|mayo|party|pinada|pinata|pi|ata
🪆	babooshka|baboushka|babushka|doll|dolls|matryoshka|nesting|russia
🪇	cha|dance|instrument|maracas|music|party|percussion|rattle|shake|shaker
🪈	band|fife|flautist|flute|instrument|marching|music|orchestra|piccolo|pipe|recorder|woodwind
🪉	cupid|harp|instrument|love|music|orchestra
🪊	brass|instrument|jazz|music|sad|slide|trombone
🪎	gem|gold|jewels|loot|money|prize|silver|valuables|wealth|treasure|chest
🪏	bury|dig|garden|hole|plant|scoop|shovel|snow|spade
🪐	planet|ringed|saturn|saturnine
🪑	chair|seat|sit
🪒	razor|sharp|shave
🪓	ax|axe|chop|hatchet|split|wood
🪔	diya|lamp|light|oil
🪕	banjo|music|stringed
🪖	army|helmet|military|soldier|war|warrior
🪗	accordion|box|concertina|instrument|music|squeeze|squeezebox
🪘	beat|conga|drum|instrument|long|rhythm
🪙	coin|dollar|euro|gold|metal|money|rich|silver|treasure
🪚	carpenter|carpentry|cut|lumber|saw|tool|trim
🪛	flathead|handy|screw|screwdriver|tool
🪜	climb|ladder|rung|step
🪝	catch|crook|curve|ensnare|hook|point|selling
🪞	makeup|mirror|reflection|reflector|speculum
🪟	air|frame|fresh|opening|transparent|view|window
🪠	cup|force|plumber|plunger|poop|suction|toilet
🪡	embroidery|needle|sew|sewing|stitches|sutures|tailoring|thread
🪢	cord|knot|rope|tangled|tie|twine|twist
🪣	bucket|cask|pail|vat
🪤	bait|cheese|lure|mouse|mousetrap|snare|trap
🪥	bathroom|brush|clean|dental|hygiene|teeth|toiletry|toothbrush
🪦	cemetery|dead|grave|graveyard|headstone|memorial|rip|tomb|tombstone
🪧	card|demonstration|notice|picket|placard|plaque|protest|sign
🪨	boulder|heavy|rock|solid|stone|tough
🪩	ball|dance|disco|glitter|mirror|party
🪪	card|credentials|document|id|identification|license|security
🪫	battery|drained|electronic|energy|low|power
🪬	amulet|fatima|fortune|guide|hamsa|hand|mary|miriam|palm|protect|protection
🪭	clack|clap|cool|cooling|dance|fan|flirt|flutter|folding|hand|hot|shy
🪮	afro|comb|groom|hair|pick
🪯	deg|fateh|khalsa|khanda|religion|sikh|sikhism|tegh
🪰	animal|disease|fly|insect|maggot|pest|rotting
🪱	animal|annelid|earthworm|parasite|worm
🪲	animal|beetle|bug|insect
🪳	animal|cockroach|insect|pest|roach
🪴	decor|grow|house|nurturing|plant|pot|potted
🪵	log|lumber|timber|wood
🪶	bird|feather|flight|light|plumage
🪷	beauty|buddhism|calm|flower|hinduism|lotus|peace|purity|serenity
🪸	change|climate|coral|ocean|reef|sea
🪹	branch|empty|home|nest|nesting
🪺	bird|branch|egg|eggs|nest|nesting
🪻	bloom|bluebonnet|flower|hyacinth|indigo|lavender|lilac|lupine|plant|purple|shrub|snapdragon|spring|violet
🪼	animal|aquarium|burn|invertebrate|jelly|jellyfish|life|marine|ocean|ouch|plankton|sea|sting|stinger|tentacles
🪽	angelic|ascend|aviation|bird|fly|flying|heavenly|mythology|soar|wing
🪾	bare|barren|branches|dead|drought|leafless|tree|trunk|winter|wood
🪿	animal|bird|duck|flock|fowl|gaggle|gander|geese|goose|honk|ornithology|silly
🫀	anatomical|beat|cardiology|heart|heartbeat|organ|pulse|real|red
🫁	breath|breathe|exhalation|inhalation|lung|lungs|organ|respiration
🫂	comfort|embrace|farewell|friendship|goodbye|hello|hug|hugging|love|people|thanks
🫃	belly|bloated|full|man|overeat|pregnant
🫃🏻	belly|bloated|full|light|skin|tone|man|overeat|pregnant
🫃🏼	belly|bloated|full|man|medium|light|skin|tone|overeat|pregnant
🫃🏽	belly|bloated|full|man|medium|skin|tone|overeat|pregnant
🫃🏾	belly|bloated|full|man|medium|dark|skin|tone|overeat|pregnant
🫃🏿	belly|bloated|dark|skin|tone|full|man|overeat|pregnant
🫄	belly|bloated|full|overeat|person|pregnant|stuffed
🫄🏻	belly|bloated|full|light|skin|tone|overeat|person|pregnant|stuffed
🫄🏼	belly|bloated|full|medium|light|skin|tone|overeat|person|pregnant|stuffed
🫄🏽	belly|bloated|full|medium|skin|tone|overeat|person|pregnant|stuffed
🫄🏾	belly|bloated|full|medium|dark|skin|tone|overeat|person|pregnant|stuffed
🫄🏿	belly|bloated|dark|skin|tone|full|overeat|person|pregnant|stuffed
🫅	crown|monarch|noble|person|regal|royal|royalty
🫅🏻	crown|light|skin|tone|monarch|noble|person|regal|royal|royalty
🫅🏼	crown|medium|light|skin|tone|monarch|noble|person|regal|royal|royalty
🫅🏽	crown|medium|skin|tone|monarch|noble|person|regal|royal|royalty
🫅🏾	crown|medium|dark|skin|tone|monarch|noble|person|regal|royal|royalty
🫅🏿	crown|dark|skin|tone|monarch|noble|person|regal|royal|royalty
🫆	clue|crime|detective|fingerprint|forensics|identity|mystery|print|safety|trace
🫈	bigfoot|cryptid|forest|giant|hairy|sasquatch|woodwose|yeti|creature
🫍	marine|ocean|whale|orca
🫎	alces|animal|antlers|elk|mammal|moose
🫏	animal|ass|burro|donkey|hinny|mammal|mule|stubborn
🫐	berries|berry|bilberry|blue|blueberries|blueberry|food|fruit
🫑	bell|capsicum|food|pepper|vegetable
🫒	food|olive
🫓	arepa|bread|flatbread|food|gordita|lavash|naan|pita
🫔	food|mexican|pamonha|tamale|wrapped
🫕	cheese|chocolate|fondue|food|melted|pot|ski
🫖	brew|drink|food|pot|tea|teapot
🫗	accident|drink|empty|glass|liquid|oops|pour|pouring|spill|water
🫘	beans|food|kidney|legume|small
🫙	condiment|container|empty|jar|nothing|sauce|store
🫚	beer|ginger|health|herb|natural|root|spice
🫛	beans|beanstalk|edamame|legume|pea|pod|soybean|vegetable|veggie
🫜	beet|food|garden|radish|root|salad|turnip|vegetable|vegetarian
🫟	drip|holi|ink|liquid|mess|paint|spill|splatter|stain
🫠	disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|sarcasm|sarcastic
🫡	face|good|luck|ma|am|ok|respect|salute|saluting|sir|troops|yes
🫢	amazement|awe|disbelief|embarrass|eyes|face|gasp|hand|mouth|omg|open|over|quiet|scared|shock|surprise
🫣	captivated|embarrass|eye|face|hide|hiding|peek|peeking|peep|scared|shy|stare
🫤	confused|confusion|diagonal|disappointed|doubt|doubtful|face|frustrated|frustration|meh|mouth|skeptical|unsure|whatever|wtv
🫥	depressed|disappear|dotted|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv
🫦	anxious|bite|biting|fear|flirt|flirting|kiss|lip|lipstick|nervous|sexy|uncomfortable|worried|worry
🫧	bubble|bubbles|burp|clean|floating|pearl|soap|underwater
🫨	crazy|daze|earthquake|face|omg|panic|shaking|shock|surprise|vibrate|whoa|wow
🫩	bags|bored|exhausted|eyes|face|fatigued|late|sleepy|tired|weary|under
🫪	anxiety|bloated|panic|shocked|surprised|vulnerable|distorted|face
🫯	argument|brawl|debate|disagreement|fight|ruckus|wrestle|cloud
🫰	crossed|expensive|finger|hand|heart|index|love|money|snap|thumb
🫰🏻	crossed|expensive|finger|hand|heart|index|light|skin|tone|love|money|snap|thumb
🫰🏼	crossed|expensive|finger|hand|heart|index|love|medium|light|skin|tone|money|snap|thumb
🫰🏽	crossed|expensive|finger|hand|heart|index|love|medium|skin|tone|money|snap|thumb
🫰🏾	crossed|expensive|finger|hand|heart|index|love|medium|dark|skin|tone|money|snap|thumb
🫰🏿	crossed|dark|skin|tone|expensive|finger|hand|heart|index|love|money|snap|thumb
🫱	hand|handshake|hold|reach|right|rightward|rightwards|shake
🫱🏻	hand|handshake|hold|light|skin|tone|reach|right|rightward|rightwards|shake
🫱🏻‍🫲🏼	agreement|deal|hand|handshake|light|skin|tone|medium|meeting|shake
🫱🏻‍🫲🏽	agreement|deal|hand|handshake|light|skin|tone|medium|meeting|shake
🫱🏻‍🫲🏾	agreement|deal|hand|handshake|light|skin|tone|medium|dark|meeting|shake
🫱🏻‍🫲🏿	agreement|dark|skin|tone|deal|hand|handshake|light|meeting|shake
🫱🏼	hand|handshake|hold|medium|light|skin|tone|reach|right|rightward|rightwards|shake
🫱🏼‍🫲🏻	agreement|deal|hand|handshake|light|skin|tone|medium|meeting|shake
🫱🏼‍🫲🏽	agreement|deal|hand|handshake|medium|skin|tone|light|meeting|shake
🫱🏼‍🫲🏾	agreement|deal|hand|handshake|medium|dark|skin|tone|light|meeting|shake
